,Player,Team Name,Position,Year,Games Played,Games Started,Field Goals Made,Minutes,Free Throws,Points,Blocks,Blocked Attempts,Personal Fouls,Assists,Turnovers,Assists Turnover Ratio,Steals,Three Pointers,Two Pointers,Rebounds
2801,Demetrius Jackson Jr.,Houston Rockets,G,2017,12,0,4,63.0,0,8,1,2,6,5,9,0.56,4,0,4,11
2802,Zhou Qi,Houston Rockets,F-C,2017,18,0,6,124.0,8,22,14,3,14,2,10,0.2,2,2,4,22
2803,R.J. Hunter,Houston Rockets,G,2017,5,1,7,45.0,2,19,0,1,7,3,2,1.5,3,3,4,5
2804,Chinanu Onuaku,Houston Rockets,C,2017,1,0,2,22.0,0,4,0,0,4,1,3,0.33,0,0,2,4
2805,Nene,Houston Rockets,C-F,2017,52,4,136,758.0,68,340,14,23,123,45,38,1.18,28,0,136,176
2806,Eric Gordon,Houston Rockets,G,2017,69,30,415,2154.0,195,1243,27,51,116,154,130,1.18,44,218,197,170
2807,Wayne Ellington,Miami Heat,G,2017,77,2,285,2041.0,67,864,8,14,94,79,52,1.52,53,227,58,218
2808,Hassan Whiteside,Miami Heat,C,2017,54,54,312,1364.0,128,754,94,52,131,54,92,0.59,37,2,310,618
2809,Dwyane Wade,Miami Heat,G,2017,21,0,101,467.0,41,252,15,11,40,65,48,1.35,19,9,92,71
2810,James Johnson,Miami Heat,F,2017,73,41,309,1943.0,113,788,51,27,192,280,141,1.99,70,57,252,358
2811,Dion Waiters,Miami Heat,G,2017,30,30,163,918.0,51,429,9,19,61,113,70,1.61,23,52,111,77
2812,Bam Adebayo,Miami Heat,C-F,2017,69,19,174,1368.0,129,477,41,29,138,101,66,1.53,32,0,174,381
2813,Justise Winslow,Miami Heat,F-G,2017,68,25,207,1680.0,66,529,33,43,140,148,77,1.92,54,49,158,370
2814,Arron Afflalo,Orlando Magic,G,2017,53,3,65,681.0,22,179,9,8,56,30,21,1.43,4,27,38,66
2815,Vander Blue,Los Angeles Lakers,G,2017,5,0,1,45.0,1,3,0,0,2,3,3,1.0,1,0,1,1
2816,Josh Hart,Los Angeles Lakers,G,2017,63,23,176,1460.0,66,496,16,21,107,80,47,1.7,47,78,98,263
2817,P.J. Tucker,Houston Rockets,F,2017,82,34,172,2281.0,43,502,26,19,205,77,74,1.04,78,115,57,457
2818,Joe Johnson,Houston Rockets,G-F,2017,23,1,51,505.0,20,139,1,2,35,38,18,2.11,6,17,34,65
2819,Le'Bryan Nash,Houston Rockets,G-F,2017,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0
2820,Gerald Green,Houston Rockets,G-F,2017,41,2,168,929.0,51,497,15,7,87,25,31,0.81,24,110,58,133
2821,Alec Peters,Phoenix Suns,F,2017,20,0,28,225.0,8,82,2,0,13,12,4,3.0,2,18,10,37
2822,Mike James,Phoenix Suns,G,2017,32,10,121,669.0,64,332,7,21,45,120,48,2.5,27,26,95,89
2823,Brandon Knight,Phoenix Suns,G,2017,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0
2824,Milos Teodosic,LA Clippers,G,2017,45,36,151,1134.0,39,429,5,9,103,209,97,2.15,23,88,63,126
2825,Jawun Evans,LA Clippers,G,2017,48,4,89,778.0,38,231,6,25,97,100,44,2.27,36,15,74,84
2826,Tyrone Wallace,LA Clippers,G,2017,30,19,110,851.0,61,291,13,36,83,71,46,1.54,27,10,100,105
2827,Jamil Wilson,LA Clippers,F,2017,15,10,38,274.0,2,105,8,2,34,10,8,1.25,5,27,11,32
2828,Avery Bradley,LA Clippers,G,2017,6,6,26,165.0,2,55,1,3,12,11,8,1.38,5,1,25,22
2829,Willie Reed,LA Clippers,C,2017,39,5,80,419.0,32,193,22,14,53,9,19,0.47,9,1,79,120
2830,C.J. Williams,LA Clippers,G,2017,38,18,87,706.0,13,209,13,10,63,43,20,2.15,31,22,65,56
